Letter,Direction,Eccentricity,Reaction Time (s),Stim Size
P,0,24,1.366893699974753,6
B,0,16,1.256099499994889,4
E,0,24,0.6563092999858782,8
P,0,24,0.8198969999793917,6
P,0,16,0.9516212999587879,8
P,0,16,0.864828999969177,8
B,0,8,1.5687342999735847,6
B,2,8,0.8984042999800295,8
P,0,0,0,8
E,0,0,0.6094389000209048,8
P,2,24,1.0879880000138655,6
B,2,24,0.8467899000970647,4
P,0,24,1.1038338000653312,6
E,2,0,0.7004556999308988,8
B,2,16,1.1554761999286711,4
P,0,0,0.7489236000692472,6
E,2,24,0.6821720999432728,4
E,0,8,0.8261400999035686,8
E,2,24,0.8270085999974981,8
E,0,24,1.1036681999685243,8
B,2,8,1.0261499000480399,4
E,0,24,0.9826619999948889,8
E,0,0,0.9603716999990866,4
P,0,16,1.6689121999079362,4
E,0,8,0.9327077999478206,4
E,0,8,0.8176916000666097,6
E,2,16,0.7869102999102324,8
P,2,16,1.0659184000687674,4
E,2,0,0.7441261999774724,6
B,2,8,1.243955900077708,8
E,2,0,0.7608696999959648,4
B,2,8,1.5526484000729397,6
E,2,8,0.8496991998981684,4
E,0,8,0.8660564000019804,6
P,0,16,0.7570384000428021,6
E,2,0,0.6487001000205055,4
P,0,24,1.2239211000269279,6
B,0,8,1.1702374999877065,8
B,2,8,0.7830566000193357,8
E,2,16,0.7563211000524461,6
B,2,8,0,4
P,2,24,1.0809569000266492,4
E,0,16,1.466586499940604,6
E,2,24,0.8656431999988854,6
B,2,16,1.47810509998817,6
B,2,0,1.1980343000032008,4
E,0,8,0.8264100999804214,4
E,0,8,1.078396699973382,8
B,0,24,0,4
E,2,16,1.1757533999625593,8
P,0,0,1.582767799962312,4
B,0,0,0.9920066999038681,4
B,2,0,0,4
B,2,0,0.5550589000340551,8
E,2,16,0.9052155000390485,4
B,0,24,0.932171400054358,8
P,2,16,0.6944091999903321,6
B,0,0,0.9199110999470577,6
P,2,8,0,6
B,2,16,0.8526978999143466,8
P,0,0,0.49770390009507537,6
P,2,0,1.5618366000708193,4
E,2,16,0.6084177000448108,8
B,0,24,0,8
P,2,24,0,4
E,2,0,0,6
B,0,16,0,6
E,0,0,0.8493589001009241,4
B,0,16,0,4
E,2,16,0.8267593999626115,4
P,2,8,0.639325900003314,8
P,0,0,1.308094699983485,8
P,2,24,0.879377199918963,6
E,2,24,0,6
B,2,0,1.41665159992408,8
E,0,8,1.0124322000192478,4
P,2,0,0.9959049999015406,6
P,0,16,1.2689515999518335,4
E,2,24,1.5004103999817744,8
E,0,24,0.7798868999816477,4
E,0,16,0.7317282999865711,6
P,0,16,0,6
P,0,16,0.5653297998942435,4
E,0,24,0.8606229999568313,4
B,2,0,0.7735076999524608,6
P,2,0,0.6872897000284865,8
B,0,16,0.812978700036183,8
P,0,16,1.1945010999916121,8
E,2,8,1.0721380000468343,6
P,2,24,0,8
B,2,8,1.1873567999573424,4
B,0,0,0.8563771999906749,8
P,0,8,0.595397200086154,4
E,2,24,0.7183420000365004,8
P,0,0,0,6
P,2,0,1.1253430000506341,8
E,2,16,1.025106699904427,4
P,2,0,0.7027802999364212,6
P,0,24,0.7239478999981657,6
P,0,0,1.2965659000910819,4
B,0,8,1.4246904000174254,8
B,0,8,0.6819646999938414,8
P,2,16,1.029024300049059,6
P,0,16,0.9675337999360636,8
E,2,24,0.6384504999732599,6
P,0,0,0.8613271999638528,8
E,2,8,1.1832565000513569,6
P,0,0,0,6
P,2,16,1.1874343999661505,8
P,2,8,0,6
B,0,24,1.0409345999360085,4
E,2,24,0.7336609000340104,4
P,2,16,0,6
B,2,8,0.7455342999892309,4
E,0,8,0.6748778000473976,6
P,0,8,0.9977213999954984,6
P,2,8,0,8
B,0,8,0,4
P,2,24,1.202704899944365,8
E,0,24,0.8059287999058142,4
P,0,0,0.8690360001055524,8
B,2,8,0.9655075999908149,4
B,0,24,1.0021248999983072,4
B,2,0,0.8196826999774203,4
P,2,8,1.1805333000374958,6
B,0,24,0.7458564999978989,8
P,2,24,0.8505337999667972,4
E,2,0,0.9186830000253394,6
B,0,16,1.163764699944295,6
B,0,16,0.6793841000180691,4
E,2,24,0.8364683000836521,6
P,0,16,0.9078946000663564,6
P,2,24,0.6975750999990851,8
P,0,0,0.647584900027141,6
P,0,0,0.44132590002845973,6
P,2,8,0.5297291999449953,6
P,2,16,0.5701870999764651,6
P,2,8,0.5565622999565676,8
B,0,8,0.6315808000508696,4
