Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,0,1.151906584000244
0.0,0,0,0.7901097079993633
90.0,2,0,1.0379122090016608
45.0,2,0,1.0431549580007413
90.0,0,0,0.7305269579992455
45.0,2,0,0.7600315409999894
0.0,0,0,0.4540475409994542
90.0,0,0,0.7383892500001821
0.0,0,0,1.180239999999685
0.0,0,0,0.7960409579991392
90.0,2,0,0.6945439999999508
90.0,0,0,0.8379762919994391
45.0,2,0,0.724892207999801
45.0,2,0,0.9832172500009619
90.0,0,0,0.715437999999267
45.0,0,0,0.7472542909999902
90.0,0,0,0.7197954169987497
45.0,2,0,0.7327144999999291
90.0,2,0,0.7739637909999146
45.0,2,0,0.9301692499993806
